	DX	DY	DZ	
	m	m	m	
Node 2422: 12: 120.237 Hz	8.56551e-6	1.76202e-5	3.78296e-6	
Node 2422: 13: 125.0 Hz	7.88682e-6	1.58948e-5	4.07669e-6	
Node 2422: 14: 129.311 Hz	7.32424e-6	1.45617e-5	4.28126e-6	
Node 2422: 15: 142.442 Hz	-5.83132e-6	1.15554e-5	4.56357e-6	
Node 2422: 16: 146.936 Hz	-5.3864e-6	1.08032e-5	4.55813e-6	
Node 2422: 17: 150.0 Hz	-5.10106e-6	1.03501e-5	4.5298e-6	
Node 2422: 18: 166.486 Hz	-3.79819e-6	8.48975e-6	4.12694e-6	
Node 2422: 19: 175.0 Hz	-3.2614e-6	7.76906e-6	3.83017e-6	
Node 2422: 20: 184.177 Hz	-2.76817e-6	7.09441e-6	3.51086e-6	
Node 2422: 21: 197.232 Hz	-2.19022e-6	6.25969e-6	3.13154e-6	
Node 2422: 22: 200.0 Hz	-2.08339e-6	6.09806e-6	3.06722e-6	
Node 2422: 23: 204.712 Hz	-1.91263e-6	5.83392e-6	2.97166e-6	
Node 2422: 24: 212.011 Hz	-1.67357e-6	5.45059e-6	2.85733e-6	
Node 2422: 25: 214.284 Hz	-1.605e-6	5.33727e-6	2.82961e-6	
Node 2422: 26: 217.891 Hz	-1.50158e-6	5.16305e-6	2.79271e-6	
Node 2422: 27: 225.0 Hz	-1.31599e-6	4.83851e-6	2.7429e-6	
Node 2422: 28: 250.0 Hz	-8.28425e-7	3.85676e-6	2.73206e-6	
Node 2422: 29: 253.857 Hz	-7.73232e-7	3.72193e-6	2.74313e-6	
Node 2422: 30: 256.009 Hz	-7.44612e-7	3.64817e-6	2.7499e-6	
Node 2422: 31: 271.668 Hz	-5.84179e-7	-3.13992e-6	2.80131e-6	
Node 2422: 32: 275.0 Hz	-5.61378e-7	-3.03803e-6	2.81066e-6	
Node 2422: 33: 278.879 Hz	-5.40122e-7	-2.92245e-6	2.82002e-6	
Node 2422: 34: 291.043 Hz	-5.10402e-7	-2.58477e-6	2.83505e-6	
Node 2422: 35: 300.0 Hz	-5.21131e-7	-2.3669e-6	2.82921e-6	
Node 2422: 36: 302.006 Hz	-5.26652e-7	-2.32253e-6	2.82575e-6	
Node 2422: 37: 309.966 Hz	-5.57216e-7	-2.16478e-6	2.80422e-6	
Node 2422: 38: 314.893 Hz	-5.81439e-7	-2.08302e-6	2.78478e-6	
Node 2422: 39: 325.0 Hz	-6.38648e-7	-1.95545e-6	2.73141e-6	
Node 2422: 40: 332.746 Hz	-6.85802e-7	-1.89295e-6	2.67969e-6	
Node 2422: 41: 350.0 Hz	-7.90492e-7	-1.83926e-6	2.53896e-6	
Node 2422: 42: 352.215 Hz	-8.03419e-7	-1.83821e-6	2.51898e-6	
Node 2422: 43: 367.211 Hz	-8.86066e-7	-1.84564e-6	2.37664e-6	
Node 2422: 44: 375.0 Hz	-9.25285e-7	-1.85158e-6	2.29964e-6	
Node 2422: 45: 400.0 Hz	-1.03281e-6	-1.84039e-6	2.05032e-6	
Node 2422: 46: 417.262 Hz	-1.09016e-6	-1.79565e-6	1.88308e-6	
Node 2422: 47: 425.0 Hz	-1.1112e-6	-1.76663e-6	1.81048e-6	
Node 2422: 48: 441.484 Hz	-1.14604e-6	-1.69064e-6	1.66157e-6	
Node 2422: 49: 450.0 Hz	-1.15858e-6	-1.64579e-6	1.58794e-6	
Node 2422: 50: 475.0 Hz	-1.17396e-6	-1.50275e-6	1.38582e-6	
Node 2422: 51: 490.708 Hz	1.16802e-6	1.41052e-6	-1.27029e-6	
Node 2422: 52: 500.0 Hz	1.15945e-6	1.35686e-6	-1.20636e-6	
Node 2422: 53: 508.204 Hz	1.14912e-6	1.31051e-6	-1.15271e-6	
Node 2422: 54: 522.299 Hz	1.12627e-6	1.23389e-6	-1.06667e-6	
Node 2422: 55: 523.017 Hz	1.12496e-6	1.23009e-6	-1.06249e-6	
Node 2422: 56: 525.0 Hz	1.12127e-6	1.21969e-6	-1.05106e-6	
Node 2422: 57: 550.0 Hz	1.06869e-6	1.09654e-6	-9.19255e-7	
Node 2422: 58: 575.0 Hz	-1.01155e-6	-9.88334e-7	-8.07838e-7	
Node 2422: 59: 581.332 Hz	-9.97381e-7	-9.63133e-7	-7.82338e-7	
Node 2422: 60: 600.0 Hz	-9.57906e-7	-8.93378e-7	-7.12416e-7	
Node 2422: 61: 602.059 Hz	-9.5382e-7	-8.86066e-7	-7.05136e-7	
Node 2422: 62: 613.672 Hz	-9.31929e-7	-8.46079e-7	-6.65457e-7	
Node 2422: 63: 618.756 Hz	-9.22997e-7	-8.292e-7	-6.48776e-7	
Node 2422: 64: 625.0 Hz	-9.12585e-7	-8.08948e-7	-6.28815e-7	
Node 2422: 65: 650.0 Hz	-8.76869e-7	-7.32475e-7	-5.53988e-7	
Node 2422: 66: 651.206 Hz	-8.7537e-7	-7.28953e-7	-5.50566e-7	
Node 2422: 67: 668.491 Hz	-8.55763e-7	-6.79961e-7	-5.03222e-7	
Node 2422: 68: 675.0 Hz	-8.49154e-7	-6.62199e-7	-4.86195e-7	
Node 2422: 69: 697.65 Hz	-8.28294e-7	-6.03148e-7	-4.30217e-7	
Node 2422: 70: 700.0 Hz	-8.26251e-7	-5.97261e-7	-4.24697e-7	
Node 2422: 71: 723.929 Hz	-8.05725e-7	-5.39889e-7	-3.71563e-7	
Node 2422: 72: 725.0 Hz	-8.04797e-7	-5.37431e-7	-3.69315e-7	
Node 2422: 73: 727.004 Hz	-8.03055e-7	-5.32856e-7	-3.6514e-7	
Node 2422: 74: 750.0 Hz	-7.82245e-7	-4.82746e-7	-3.20036e-7	
Node 2422: 75: 754.821 Hz	-7.77635e-7	-4.72796e-7	-3.11229e-7	
Node 2422: 76: 771.47 Hz	-7.60938e-7	-4.39915e-7	-2.82518e-7	
Node 2422: 77: 775.0 Hz	-7.57238e-7	-4.33235e-7	-2.76765e-7	
Node 2422: 78: 791.948 Hz	-7.38711e-7	-4.02569e-7	-2.50719e-7	
Node 2422: 79: 797.615 Hz	-7.32248e-7	-3.92822e-7	-2.42577e-7	
Node 2422: 80: 800.0 Hz	-7.29491e-7	-3.88795e-7	-2.39233e-7	
Node 2422: 81: 825.0 Hz	-6.99438e-7	-3.49173e-7	-2.06999e-7	
Node 2422: 82: 826.491 Hz	-6.97588e-7	-3.46954e-7	-2.05232e-7	
Node 2422: 83: 850.0 Hz	-6.67861e-7	-3.14011e-7	-1.79506e-7	
Node 2422: 84: 857.624 Hz	-6.58061e-7	-3.04114e-7	-1.71974e-7	
Node 2422: 85: 875.0 Hz	-6.35617e-7	-2.82898e-7	-1.56154e-7	
Node 2422: 86: 894.221 Hz	-6.10861e-7	-2.61466e-7	-1.40644e-7	
Node 2422: 87: 900.0 Hz	-6.03473e-7	-2.55412e-7	-1.36352e-7	
Node 2422: 88: 925.0 Hz	-5.72033e-7	-2.31143e-7	-1.19556e-7	
Node 2422: 89: 944.918 Hz	-5.47782e-7	-2.13855e-7	-1.08004e-7	
Node 2422: 90: 950.0 Hz	-5.4173e-7	-2.0971e-7	-1.05287e-7	
Node 2422: 91: 975.0 Hz	-5.12839e-7	-1.90764e-7	-9.31333e-8	
Node 2422: 92: 1000.0 Hz	-4.85517e-7	-1.73994e-7	-8.27487e-8	
Node 3478: 1: 0.0 Hz	6.75716e-6	2.44177e-5	-6.85674e-7	
Node 3478: 2: 25.0 Hz	7.56266e-6	2.74346e-5	-9.54341e-7	
Node 3478: 3: 28.3646 Hz	7.8144e-6	2.83801e-5	-1.03902e-6	
Node 3478: 4: 50.0 Hz	1.03602e-5	3.80405e-5	-1.99509e-6	
Node 3478: 5: 50.1598 Hz	1.03814e-5	3.81223e-5	-2.00477e-6	
Node 3478: 6: 67.9919 Hz	1.07215e-5	3.98299e-5	-2.83376e-6	
Node 3478: 7: 69.454 Hz	1.04904e-5	3.90011e-5	-2.84824e-6	
Node 3478: 8: 75.0 Hz	9.38657e-6	3.49657e-5	-2.83525e-6	
Node 3478: 9: 80.5485 Hz	8.16546e-6	3.04048e-5	-2.77414e-6	
Node 3478: 10: 89.394 Hz	6.46785e-6	2.38505e-5	-2.73768e-6	
Node 3478: 11: 100.0 Hz	5.0578e-6	1.79767e-5	-2.92219e-6	
Node 3478: 12: 120.237 Hz	3.64484e-6	1.11757e-5	-3.62837e-6	
Node 3478: 13: 125.0 Hz	3.42607e-6	1.01527e-5	-3.74765e-6	
Node 3478: 14: 129.311 Hz	3.24325e-6	9.37328e-6	-3.82024e-6	
Node 3478: 15: 142.442 Hz	-2.74596e-6	7.68777e-6	3.83419e-6	
Node 3478: 16: 146.936 Hz	-2.59354e-6	7.29238e-6	3.77615e-6	
Node 3478: 17: 150.0 Hz	-2.49475e-6	7.06118e-6	3.72154e-6	
Node 3478: 18: 166.486 Hz	-2.0363e-6	6.15854e-6	3.28239e-6	
Node 3478: 19: 175.0 Hz	-1.84745e-6	5.80886e-6	3.01471e-6	
Node 3478: 20: 184.177 Hz	-1.67733e-6	5.46342e-6	2.74427e-6	
Node 3478: 21: 197.232 Hz	-1.48507e-6	5.00206e-6	2.443e-6	
Node 3478: 22: 200.0 Hz	-1.45045e-6	4.90841e-6	2.39464e-6	
Node 3478: 23: 204.712 Hz	-1.39557e-6	4.75271e-6	2.32493e-6	
Node 3478: 24: 212.011 Hz	-1.3193e-6	4.52151e-6	2.24659e-6	
Node 3478: 25: 214.284 Hz	-1.29742e-6	4.45213e-6	2.22892e-6	
Node 3478: 26: 217.891 Hz	-1.26427e-6	4.34463e-6	2.20673e-6	
Node 3478: 27: 225.0 Hz	-1.20386e-6	4.14204e-6	2.18139e-6	
Node 3478: 28: 250.0 Hz	-1.0248e-6	3.51458e-6	2.21298e-6	
Node 3478: 29: 253.857 Hz	-9.9971e-7	3.4269e-6	2.22595e-6	
Node 3478: 30: 256.009 Hz	-9.8584e-7	3.37878e-6	2.23343e-6	
Node 3478: 31: 271.668 Hz	-8.8593e-7	-3.044e-6	2.28528e-6	
Node 3478: 32: 275.0 Hz	-8.64614e-7	-2.97619e-6	2.29426e-6	
Node 3478: 33: 278.879 Hz	-8.39701e-7	-2.89898e-6	2.30323e-6	
Node 3478: 34: 291.043 Hz	-7.60806e-7	-2.67154e-6	2.31858e-6	
Node 3478: 35: 300.0 Hz	-7.0235e-7	-2.52322e-6	2.31554e-6	
Node 3478: 36: 302.006 Hz	-6.89295e-7	-2.49283e-6	2.31308e-6	
Node 3478: 37: 309.966 Hz	-6.37931e-7	-2.38419e-6	2.29696e-6	
Node 3478: 38: 314.893 Hz	-6.06727e-7	-2.32741e-6	2.28203e-6	
Node 3478: 39: 325.0 Hz	-5.44986e-7	-2.23795e-6	2.24049e-6	
Node 3478: 40: 332.746 Hz	-5.00468e-7	-2.19382e-6	2.19991e-6	
Node 3478: 41: 350.0 Hz	-4.12871e-7	-2.15944e-6	2.08868e-6	
Node 3478: 42: 352.215 Hz	-4.02933e-7	-2.15987e-6	2.07281e-6	
Node 3478: 43: 367.211 Hz	-3.44092e-7	-2.17851e-6	1.95932e-6	
Node 3478: 44: 375.0 Hz	-3.19373e-7	-2.19325e-6	1.89764e-6	
Node 3478: 45: 400.0 Hz	-2.65726e-7	-2.22928e-6	1.69681e-6	
Node 3478: 46: 417.262 Hz	-2.48789e-7	-2.23007e-6	1.5615e-6	
Node 3478: 47: 425.0 Hz	-2.45533e-7	-2.2232e-6	1.50269e-6	
Node 3478: 48: 441.484 Hz	-2.4553e-7	-2.19523e-6	1.38206e-6	
Node 3478: 49: 450.0 Hz	-2.48363e-7	-2.1747e-6	1.32245e-6	
Node 3478: 50: 475.0 Hz	-2.63161e-7	-2.09732e-6	1.15902e-6	
Node 3478: 51: 490.708 Hz	2.7457e-7	2.04048e-6	-1.06582e-6	
Node 3478: 52: 500.0 Hz	2.81289e-7	2.00546e-6	-1.01432e-6	
Node 3478: 53: 508.204 Hz	2.86969e-7	1.97424e-6	-9.71137e-7	
Node 3478: 54: 522.299 Hz	2.95836e-7	1.9209e-6	-9.01969e-7	
Node 3478: 55: 523.017 Hz	2.96251e-7	1.91821e-6	-8.9861e-7	
Node 3478: 56: 525.0 Hz	2.97377e-7	1.91081e-6	-8.89427e-7	
Node 3478: 57: 550.0 Hz	3.08771e-7	1.82129e-6	-7.83683e-7	
Node 3478: 58: 575.0 Hz	-3.14593e-7	-1.74059e-6	-6.94429e-7	
Node 3478: 59: 581.332 Hz	-3.15178e-7	-1.72161e-6	-6.74006e-7	
Node 3478: 60: 600.0 Hz	-3.1491e-7	-1.66854e-6	-6.17968e-7	
Node 3478: 61: 602.059 Hz	-3.14704e-7	-1.66292e-6	-6.12127e-7	
Node 3478: 62: 613.672 Hz	-3.12928e-7	-1.63186e-6	-5.80264e-7	
Node 3478: 63: 618.756 Hz	-3.11833e-7	-1.61856e-6	-5.66848e-7	
Node 3478: 64: 625.0 Hz	-3.10236e-7	-1.60239e-6	-5.50773e-7	
Node 3478: 65: 650.0 Hz	-3.01318e-7	-1.53849e-6	-4.90248e-7	
Node 3478: 66: 651.206 Hz	-3.00795e-7	-1.53541e-6	-4.87467e-7	
Node 3478: 67: 668.491 Hz	-2.92511e-7	-1.49079e-6	-4.48851e-7	
Node 3478: 68: 675.0 Hz	-2.89046e-7	-1.4737e-6	-4.34889e-7	
Node 3478: 69: 697.65 Hz	-2.75827e-7	-1.41257e-6	-3.88663e-7	
Node 3478: 70: 700.0 Hz	-2.74371e-7	-1.40606e-6	-3.84075e-7	
Node 3478: 71: 723.929 Hz	-2.58925e-7	-1.33815e-6	-3.39599e-7	
Node 3478: 72: 725.0 Hz	-2.58213e-7	-1.33505e-6	-3.37705e-7	
Node 3478: 73: 727.004 Hz	-2.56879e-7	-1.32922e-6	-3.34181e-7	
Node 3478: 74: 750.0 Hz	-2.41386e-7	-1.26125e-6	-2.95866e-7	
Node 3478: 75: 754.821 Hz	-2.38123e-7	-1.2468e-6	-2.88325e-7	
Node 3478: 76: 771.47 Hz	-2.26905e-7	-1.19663e-6	-2.63594e-7	
Node 3478: 77: 775.0 Hz	-2.24547e-7	-1.18597e-6	-2.58609e-7	
Node 3478: 78: 791.948 Hz	-2.13378e-7	-1.1349e-6	-2.35919e-7	
Node 3478: 79: 797.615 Hz	-2.09712e-7	-1.11792e-6	-2.2878e-7	
Node 3478: 80: 800.0 Hz	-2.08181e-7	-1.1108e-6	-2.25843e-7	
Node 3478: 81: 825.0 Hz	-1.92617e-7	-1.03726e-6	-1.97316e-7	
Node 3478: 82: 826.491 Hz	-1.91719e-7	-1.03296e-6	-1.95741e-7	
Node 3478: 83: 850.0 Hz	-1.78051e-7	-9.66591e-7	-1.72663e-7	
Node 3478: 84: 857.624 Hz	-1.73825e-7	-9.45757e-7	-1.65851e-7	
Node 3478: 85: 875.0 Hz	-1.64577e-7	-8.99677e-7	-1.51453e-7	
Node 3478: 86: 894.221 Hz	-1.54973e-7	-8.51135e-7	-1.3721e-7	
Node 3478: 87: 900.0 Hz	-1.52213e-7	-8.37057e-7	-1.33245e-7	
Node 3478: 88: 925.0 Hz	-1.40934e-7	-7.78974e-7	-1.17618e-7	
Node 3478: 89: 944.918 Hz	-1.32685e-7	-7.35964e-7	-1.06759e-7	
Node 3478: 90: 950.0 Hz	-1.3068e-7	-7.25446e-7	-1.0419e-7	
Node 3478: 91: 975.0 Hz	-1.21379e-7	-6.76335e-7	-9.26266e-8	
Node 3478: 92: 1000.0 Hz	-1.1295e-7	-6.31402e-7	-8.26411e-8	
Node 4148: 1: 0.0 Hz	3.26563e-5	2.78836e-5	8.31198e-6	
Node 4148: 2: 25.0 Hz	3.60016e-5	3.13759e-5	9.19851e-6	
Node 4148: 3: 28.3646 Hz	3.70383e-5	3.24719e-5	9.47466e-6	
Node 4148: 4: 50.0 Hz	4.70996e-5	4.37256e-5	1.21972e-5	
Node 4148: 5: 50.1598 Hz	4.71772e-5	4.38217e-5	1.22187e-5	
Node 4148: 6: 67.9919 Hz	4.6146e-5	4.60862e-5	1.20795e-5	
Node 4148: 7: 69.454 Hz	4.49072e-5	4.51577e-5	1.17568e-5	
Node 4148: 8: 75.0 Hz	3.92975e-5	4.05979e-5	1.02652e-5	
Node 4148: 9: 80.5485 Hz	3.33302e-5	3.54141e-5	8.62827e-6	
Node 4148: 10: 89.394 Hz	2.51514e-5	2.79453e-5	6.25012e-6	
Node 4148: 11: 100.0 Hz	1.82643e-5	2.12473e-5	3.96285e-6	
Node 4148: 12: 120.237 Hz	1.12942e-5	1.34131e-5	1.00313e-6	
Node 4148: 13: 125.0 Hz	1.03916e-5	1.21823e-5	7.74115e-7	
Node 4148: 14: 129.311 Hz	9.73794e-6	1.12122e-5	8.48944e-7	
Node 4148: 15: 142.442 Hz	8.44853e-6	-8.90312e-6	1.51991e-6	
Node 4148: 16: 146.936 Hz	8.16878e-6	-8.27952e-6	1.70688e-6	
Node 4148: 17: 150.0 Hz	8.004e-6	-7.89083e-6	1.81334e-6	
Node 4148: 18: 166.486 Hz	7.21453e-6	-6.1917e-6	2.14864e-6	
Node 4148: 19: 175.0 Hz	6.75503e-6	-5.52018e-6	2.22091e-6	
Node 4148: 20: 184.177 Hz	6.19977e-6	-4.92109e-6	2.26878e-6	
Node 4148: 21: 197.232 Hz	5.36479e-6	-4.2459e-6	2.32997e-6	
Node 4148: 22: 200.0 Hz	5.18983e-6	-4.12413e-6	2.34495e-6	
Node 4148: 23: 204.712 Hz	4.89848e-6	-3.93088e-6	2.37291e-6	
Node 4148: 24: 212.011 Hz	4.46945e-6	-3.66173e-6	2.42257e-6	
Node 4148: 25: 214.284 Hz	4.34249e-6	-3.5844e-6	2.43957e-6	
Node 4148: 26: 217.891 Hz	4.14818e-6	-3.46722e-6	2.46791e-6	
Node 4148: 27: 225.0 Hz	3.79216e-6	-3.25358e-6	2.52808e-6	
Node 4148: 28: 250.0 Hz	2.82348e-6	-2.62264e-6	2.76148e-6	
Node 4148: 29: 253.857 Hz	2.70986e-6	-2.5346e-6	2.79658e-6	
Node 4148: 30: 256.009 Hz	2.65015e-6	-2.48596e-6	2.81562e-6	
Node 4148: 31: 271.668 Hz	2.28765e-6	-2.1363e-6	2.93583e-6	
Node 4148: 32: 275.0 Hz	2.22526e-6	-2.06198e-6	2.95587e-6	
Node 4148: 33: 278.879 Hz	2.15845e-6	-1.97533e-6	2.97615e-6	
Node 4148: 34: 291.043 Hz	1.98558e-6	-1.70368e-6	3.01597e-6	
Node 4148: 35: 300.0 Hz	1.88913e-6	-1.50715e-6	3.02025e-6	
Node 4148: 36: 302.006 Hz	1.87063e-6	-1.46412e-6	3.01823e-6	
Node 4148: 37: 309.966 Hz	1.807e-6	-1.29915e-6	2.99965e-6	
