Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
nrr,22.9789375,0.55015375,0.405909913,0.310542038,0.423194875,0.255109688,0.23603575,0.34988125,0.240208,0.250937103
nrr,6.65251125,0.346305,0.33617175,0.40024725,0.383260375,0.352563375,0.205637288,0.256301375,0.330807538,0.194312413
nrr,29.351275,3.207345,0.786784875,0.229479063,0.272991025,0.2139819,0.214577863,0.135899538,0.1651058,0.151992675
nrr,1.88858,0.50425825,0.259281625,0.348093275,0.32127075,0.329615463,0.319482563,0.289978288,0.305177313,0.338854125
nrr,6.04156375,0.335278,0.325443363,0.2712025,0.247956688,0.2568975,0.351371375,0.231267463,0.243784375,0.265838063
nrr,1.13413375,0.487866125,0.405612125,0.4574675,0.51543375,0.369997625,0.48786675,0.438841625,0.211597838,0.260175713
nrr,5.96974125,1.43037125,0.758771125,0.474008488,0.261814688,0.317098625,0.363739238,0.39190275,0.396075125,0.42304625
nrr,1.579532375,0.415670125,0.399353375,0.3808756,0.301749963,0.290797875,0.4225995,0.333117,0.2381218,0.410678
nrr,8.252895,0.877683875,0.337065875,0.438990375,0.41514885,0.356437625,0.348092875,0.466706963,0.380279625,0.329615625
nrr,3.9011425,0.29534305,0.21293875,0.316949338,0.36016275,0.286252875,0.26107,0.314565375,0.263304975,0.373425
nrr,22.979525,5.809405,1.40965875,0.6264485,0.3162045,0.261069688,0.320078575,0.255407275,0.193120125,0.315906125
nrr,1.229948375,1.34618075,0.377597625,0.337662375,0.27090475,0.374616825,0.264645625,0.278057125,0.33796,0.2807395
