Condition,f95,f190,f285,f380,f475,f570,f665,f760,f855,f950
rc,53.9222,29.153975,30.3413,13.3777375,7.02623125,4.19618625,3.489275,2.83958375,1.5461525,1.31727
rc,399.568,341.098375,247.41525,163.7065,95.4371875,55.6174,29.90975,12.1165,10.523885,3.53338125
rc,412.268625,199.7195,138.55275,77.2193875,42.4459625,20.888,11.6921125,7.74625625,3.35695375,1.769075
rc,201.1835,250.529125,137.334375,85.34015,51.801525,25.3416625,11.13184125,6.3109775,1.4090625,0.9822915
rc,238.243125,164.4885,110.972625,66.452325,36.306525,17.798025,9.8181375,7.66519375,5.2810075,3.006475
rc,546.095,437.0235,310.282125,201.9535,134.103875,76.33015,48.9833875,38.4690375,24.414225,10.42135375
rr,24.34522625,8.44244,8.684135,1.067225625,1.59473125,1.9738175,1.8960325,2.68490875,0.245870563,0.2020608
rr,234.74325,221.318,107.2795,51.0218625,28.5174125,15.83345,9.4438025,5.86513375,1.73808125,1.0871945
rr,266.81075,146.977375,127.386625,89.511275,59.78495,20.13575,2.87892125,2.8765375,2.801435,1.37687625
rr,98.5515125,28.4792625,26.6702625,16.7149875,10.7235375,10.16384125,0.684860875,0.4148505,0.290872125,0.199080688
rr,97.2931875,7.324255,15.0895875,4.05432625,1.269585125,1.99914875,2.09928625,0.244380438,0.220538375,0.331403663
rr,69.7574,6.6960225,4.47990375,2.84315875,1.37806625,0.882153625,0.52929175,0.401141625,0.333787875,0.250340975
rr,49.915625,3.94942125,40.0867625,7.761755,2.94567875,3.2413175,3.65497625,0.268222625,0.38623975,0.278951438
rr,114.5715,12.9819625,6.178655,3.7360375,2.00392,1.189717,0.644926,0.435116,0.439884875,0.354053663
rr,69.8706625,0.947718375,3.8236575,1.65165375,0.656251,0.46074645,0.41306225,0.413062563,0.255109313,0.155569163
rr,79.9172875,1.6045675,2.5260575,1.68682125,0.509622875,0.394585125,0.225902725,0.296832663,0.252725,0.280739375
rr,46.173625,31.0118375,20.5709,9.03371625,4.52758875,2.2906175,1.170641625,0.779633,0.451193125,0.311138088
rr,51.0069625,16.3818,9.69356125,4.34817625,2.0885575,1.167662,0.44405705,0.245572488,0.281335478,0.42677175
rr,277.09345,262.12825,150.257125,93.21745,53.0937375,35.0668,19.0902875,20.62570125,14.765325,13.4134975
rr,124.7304,67.577675,35.8333125,38.7634875,22.92765,10.42371125,4.96748,4.2057225,3.35814375,2.57136125
rr,275.51775,133.02625,111.115625,89.7890375,58.6560375,39.7852125,28.0191125,24.52625,14.972775,5.17372125
rr,56.664025,10.29200875,4.09605,1.68562625,0.704529875,0.590088625,0.30040895,0.343920663,0.30935,0.331999375
rr,67.2486375,15.96755,9.67864875,4.92694875,1.78278375,0.787381125,0.383855875,0.240804188,0.320674913,0.235439625
rr,119.367125,21.504325,23.5261125,15.3971375,8.0085175,4.41791625,2.44499625,1.5091975,1.018053125,0.567439125
rr,152.982125,76.6173,110.29775,74.7445125,44.0445625,22.6701625,12.5838125,6.9773575,4.79343375,3.06965875
rr,56.277825,27.489225,34.8968875,21.0370125,11.5341625,6.7884125,3.91067875,3.00170875,2.1630625,1.35064875
rr,266.352875,110.970125,66.967325,45.321275,23.8873125,17.0231625,12.061675,8.0991175,6.4707175,4.26294625
rr,186.9585,113.149375,110.56725,46.97235,35.7903875,18.0567375,7.03696125,2.91826125,5.42525,1.325614125
rr,143.465375,54.6494125,43.85145,24.802825,11.1223125,4.6789875,2.49387125,1.410254,0.68307325,0.561478913
rr,118.687875,51.6084,19.420475,11.3762125,5.02828,2.62858,0.76413575,0.705723,0.355245625,0.261069875
